timestamp;hash_rate;btc_market_price_usd;transaction_fees_btc;mempool_size;transaction_fees_usd;avg_fee_per_tx_btc;avg_fee_per_tx_usd
2024-08-27 12:00:00;658503721.883453;61162.300000;7.751027;69295533.000000;474135.060048;0.000000;0.000000
2024-08-27 15:00:00;669826295.754566;60738.430000;7.741529;69124134.250000;470268.696467;0.000000;0.000000
2024-08-27 18:00:00;681148869.625680;60314.560000;7.732031;68952735.500000;466402.332885;0.000000;0.000000
2024-08-27 21:00:00;692471443.496793;59890.690000;7.722532;70460540.125000;462535.969303;0.000000;0.000000
2024-08-28 00:00:00;703794017.367907;59466.820000;7.713034;71968344.750000;458669.605721;0.000000;0.000000
2024-08-28 03:00:00;689206164.771457;59411.481250;7.773470;73476149.375000;461809.945146;0.000000;0.000000
2024-08-28 06:00:00;674618312.175007;59356.142500;7.833906;74983954.000000;464950.284570;0.000000;0.000000
2024-08-28 09:00:00;660030459.578557;59300.803750;7.894341;71026976.250000;468090.623994;0.000000;0.000000
2024-08-28 12:00:00;645442606.982108;59245.465000;7.954777;67069998.500000;471230.963419;0.000000;0.000000
2024-08-28 15:00:00;630854754.385658;59190.126250;8.015213;63113020.750000;474371.302843;0.000000;0.000000
2024-08-28 18:00:00;616266901.789208;59134.787500;8.075649;59156043.000000;477511.642268;0.000000;0.000000
2024-08-28 21:00:00;601679049.192758;59079.448750;8.136085;59382790.500000;480651.981692;0.000000;0.000000
2024-08-29 00:00:00;587091196.596309;59024.110000;8.196520;59609538.000000;483792.321117;0.000000;0.000000
2024-08-29 03:00:00;592650772.321652;59069.763750;8.173627;59836285.500000;482806.885953;0.000000;0.000000
2024-08-29 06:00:00;598210348.046996;59115.417500;8.150733;60063033.000000;481821.450790;0.000000;0.000000
2024-08-29 09:00:00;603769923.772340;59161.071250;8.127840;61440384.875000;480836.015626;0.000000;0.000000
2024-08-29 12:00:00;609329499.497684;59206.725000;8.104946;62817736.750000;479850.580463;0.000000;0.000000
2024-08-29 15:00:00;614889075.223028;59252.378750;8.082052;64195088.625000;478865.145299;0.000000;0.000000
2024-08-29 18:00:00;620448650.948371;59298.032500;8.059159;65572440.500000;477879.710136;0.000000;0.000000
2024-08-29 21:00:00;626008226.673715;59343.686250;8.036265;64734466.750000;476894.274972;0.000000;0.000000
2024-08-30 00:00:00;631567802.399059;59389.340000;8.013371;63896493.000000;475908.839809;0.000000;0.000000
2024-08-30 03:00:00;634347590.261731;59354.201250;7.802409;63058519.250000;463157.631042;0.000000;0.000000
2024-08-30 06:00:00;637127378.124403;59319.062500;7.591446;62220545.500000;450406.422276;0.000000;0.000000
2024-08-30 09:00:00;639907165.987075;59283.923750;7.380483;63010872.166667;437655.213509;0.000000;0.000000
2024-08-30 12:00:00;642686953.849747;59248.785000;7.169521;63801198.833333;424904.004743;0.000000;0.000000
2024-08-30 15:00:00;645466741.712419;59213.646250;6.958558;64591525.500000;412152.795976;0.000000;0.000000
2024-08-30 18:00:00;648246529.575091;59178.507500;6.747596;63437643.500000;399401.587210;0.000000;0.000000
2024-08-30 21:00:00;651026317.437762;59143.368750;6.536633;62283761.500000;386650.378443;0.000000;0.000000
2024-08-31 00:00:00;653806105.300434;59108.230000;6.325670;61129879.500000;373899.169677;0.000000;0.000000
2024-08-31 03:00:00;651026317.437762;59090.815000;6.342193;59975997.500000;374763.347671;0.000000;0.000000
2024-08-31 06:00:00;648246529.575091;59073.400000;6.358716;59486692.875000;375627.525665;0.000000;0.000000
2024-08-31 09:00:00;645466741.712419;59055.985000;6.375239;58997388.250000;376491.703659;0.000000;0.000000
2024-08-31 12:00:00;642686953.849747;59038.570000;6.391762;58508083.625000;377355.881653;0.000000;0.000000
2024-08-31 15:00:00;639907165.987075;59021.155000;6.408285;58018779.000000;378220.059647;0.000000;0.000000
2024-08-31 18:00:00;637127378.124403;59003.740000;6.424808;58106453.000000;379084.237641;0.000000;0.000000
2024-08-31 21:00:00;634347590.261731;58986.325000;6.441331;58194127.000000;379948.415635;0.000000;0.000000
2024-09-01 00:00:00;631567802.399059;58968.910000;6.457854;58281801.000000;380812.593628;0.000000;0.000000
2024-09-01 03:00:00;645466741.712419;58763.111250;6.601869;58369475.000000;387738.918325;0.000000;0.000000
2024-09-01 06:00:00;659365681.025778;58557.312500;6.745885;58737562.000000;394665.243021;0.000000;0.000000
2024-09-01 09:00:00;673264620.339138;58351.513750;6.889901;59105649.000000;401591.567717;0.000000;0.000000
2024-09-01 12:00:00;687163559.652497;58145.715000;7.033917;59473736.000000;408517.892413;0.000000;0.000000
2024-09-01 15:00:00;701062498.965857;57939.916250;7.177932;59841823.000000;415444.217109;0.000000;0.000000
2024-09-01 18:00:00;714961438.279217;57734.117500;7.321948;57999783.875000;422370.541805;0.000000;0.000000
2024-09-01 21:00:00;728860377.592576;57528.318750;7.465964;56157744.750000;429296.866501;0.000000;0.000000
2024-09-02 00:00:00;742759316.905936;57322.520000;7.609979;54315705.625000;436223.191197;0.000000;0.000000
2024-09-02 03:00:00;732752080.600317;57546.411250;7.717690;52473666.500000;444294.176845;0.000000;0.000000
2024-09-02 06:00:00;722744844.294698;57770.302500;7.825401;54815494.750000;452365.162492;0.000000;0.000000
2024-09-02 09:00:00;712737607.989079;57994.193750;7.933112;57157323.000000;460436.148140;0.000000;0.000000
2024-09-02 12:00:00;702730371.683460;58218.085000;8.040822;59499151.250000;468507.133787;0.000000;0.000000
2024-09-02 15:00:00;692723135.377841;58441.976250;8.148533;61840979.500000;476578.119435;0.000000;0.000000
2024-09-02 18:00:00;682715899.072222;58665.867500;8.256244;62590554.625000;484649.105083;0.000000;0.000000
2024-09-02 21:00:00;672708662.766603;58889.758750;8.363955;63340129.750000;492720.090730;0.000000;0.000000
2024-09-03 00:00:00;662701426.460985;59113.650000;8.471666;64089704.875000;500791.076378;0.000000;0.000000
2024-09-03 03:00:00;663813341.606053;58903.222500;8.384166;64839280.000000;493983.269886;0.000000;0.000000
2024-09-03 06:00:00;664925256.751122;58692.795000;8.296666;64205636.375000;487175.463394;0.000000;0.000000
2024-09-03 09:00:00;666037171.896191;58482.367500;8.209166;63571992.750000;480367.656902;0.000000;0.000000
2024-09-03 12:00:00;667149087.041260;58271.940000;8.121666;62938349.125000;473559.850410;0.000000;0.000000
2024-09-03 15:00:00;668261002.186329;58061.512500;8.034166;62304705.500000;466752.043918;0.000000;0.000000
2024-09-03 18:00:00;669372917.331397;57851.085000;7.946667;61500079.250000;459944.237426;0.000000;0.000000
2024-09-03 21:00:00;670484832.476466;57640.657500;7.859167;60695453.000000;453136.430934;0.000000;0.000000
2024-09-04 00:00:00;671596747.621535;57430.230000;7.771667;59890826.750000;446328.624442;0.000000;0.000000
2024-09-04 03:00:00;673820577.911672;57497.300000;8.142941;59086200.500000;468371.430618;0.000000;0.000000
2024-09-04 06:00:00;676044408.201810;57564.370000;8.514215;60077636.250000;490414.236794;0.000000;0.000000
2024-09-04 09:00:00;678268238.491947;57631.440000;8.885489;61069072.000000;512457.042970;0.000000;0.000000
2024-09-04 12:00:00;680492068.782085;57698.510000;9.256763;62060507.750000;534499.849145;0.000000;0.000000
2024-09-04 15:00:00;682715899.072222;57765.580000;9.628037;63051943.500000;556542.655321;0.000000;0.000000
2024-09-04 18:00:00;684939729.362360;57832.650000;9.999311;63472587.125000;578585.461497;0.000000;0.000000
2024-09-04 21:00:00;687163559.652497;57899.720000;10.370585;63893230.750000;600628.267673;0.000000;0.000000
2024-09-05 00:00:00;689387389.942635;57966.790000;10.741859;64313874.375000;622671.073849;0.000000;0.000000
2024-09-05 03:00:00;683827814.217291;57741.606250;10.351736;64734518.000000;598340.828012;0.000000;0.000000
2024-09-05 06:00:00;678268238.491947;57516.422500;9.961614;64507217.000000;574010.582175;0.000000;0.000000
2024-09-05 09:00:00;672708662.766603;57291.238750;9.571491;64279916.000000;549680.336339;0.000000;0.000000
2024-09-05 12:00:00;667149087.041260;57066.055000;9.181369;64052615.000000;525350.090502;0.000000;0.000000
2024-09-05 15:00:00;661589511.315916;56840.871250;8.791246;64627657.875000;501019.844665;0.000000;0.000000
