draw_idx,btc_price,converged,total_miners,active_miners,pct_active,total_hash_rate,pool_hash_rate,pct_solo,pct_pool,pct_offline
101,123890.25531494053,True,500,500,1.0,475843.0,0.0,1.0,0.0,0.0
102,158868.2657094292,True,500,500,1.0,474495.0,0.0,1.0,0.0,0.0
103,148492.53538460232,True,500,500,1.0,487975.0,0.0,1.0,0.0,0.0
104,184476.5424442852,True,500,500,1.0,466721.0,0.0,1.0,0.0,0.0
105,56978.08050652333,True,500,500,1.0,461063.0,0.0,1.0,0.0,0.0
106,125701.96770505764,True,500,500,1.0,477660.0,0.0,1.0,0.0,0.0
107,190481.07512890332,True,500,500,1.0,508422.0,0.0,1.0,0.0,0.0
108,99897.46942293248,True,500,500,1.0,488867.0,0.0,1.0,0.0,0.0
109,92601.03428349244,True,500,500,1.0,475174.0,0.0,1.0,0.0,0.0
110,104185.33731472184,True,500,500,1.0,478392.0,0.0,1.0,0.0,0.0
111,179800.92879476285,True,500,500,1.0,478994.0,0.0,1.0,0.0,0.0
112,101069.7019671773,True,500,500,1.0,505062.0,0.0,1.0,0.0,0.0
113,91442.51425623159,True,500,500,1.0,492261.0,0.0,1.0,0.0,0.0
114,162172.09225486132,True,500,500,1.0,501576.0,0.0,1.0,0.0,0.0
115,164296.78266877183,True,500,500,1.0,475344.0,0.0,1.0,0.0,0.0
116,181063.09731829565,True,500,500,1.0,456663.0,0.0,1.0,0.0,0.0
117,84783.64829807299,True,500,500,1.0,485054.0,0.0,1.0,0.0,0.0
118,97388.23432721016,True,500,500,1.0,473438.0,0.0,1.0,0.0,0.0
119,103240.83110759978,True,500,500,1.0,488176.0,0.0,1.0,0.0,0.0
120,96855.68446266062,True,500,500,1.0,487763.0,0.0,1.0,0.0,0.0
121,180471.27372722127,True,500,500,1.0,483895.0,0.0,1.0,0.0,0.0
122,128648.8969140863,True,500,500,1.0,498192.0,0.0,1.0,0.0,0.0
123,165042.90176032894,True,500,500,1.0,471133.0,0.0,1.0,0.0,0.0
124,111897.24338036585,True,500,500,1.0,472330.0,0.0,1.0,0.0,0.0
125,118270.3056374669,True,500,500,1.0,479031.0,0.0,1.0,0.0,0.0
126,64297.652947837836,True,500,500,1.0,512893.0,0.0,1.0,0.0,0.0
127,108165.48207449456,True,500,500,1.0,489477.0,0.0,1.0,0.0,0.0
128,43778.03460454378,True,500,500,1.0,495015.0,0.0,1.0,0.0,0.0
129,101191.72038045299,True,500,500,1.0,475332.0,0.0,1.0,0.0,0.0
130,76741.63604145155,True,500,500,1.0,491516.0,0.0,1.0,0.0,0.0
131,149020.09360154386,True,500,500,1.0,484944.0,0.0,1.0,0.0,0.0
132,190930.28274117154,True,500,500,1.0,485764.0,0.0,1.0,0.0,0.0
133,159641.0999622967,True,500,500,1.0,487236.0,0.0,1.0,0.0,0.0
134,114169.64484721351,True,500,500,1.0,490071.0,0.0,1.0,0.0,0.0
135,129666.91671948822,True,500,500,1.0,489261.0,0.0,1.0,0.0,0.0
136,115847.09866720079,True,500,500,1.0,470802.0,0.0,1.0,0.0,0.0
137,97663.83070999221,True,500,500,1.0,497955.0,0.0,1.0,0.0,0.0
138,131352.96411499075,True,500,500,1.0,486737.0,0.0,1.0,0.0,0.0
139,79119.67418810989,True,500,500,1.0,489793.0,0.0,1.0,0.0,0.0
140,85413.99583994536,True,500,500,1.0,460315.0,0.0,1.0,0.0,0.0
141,144324.4299839528,True,500,500,1.0,469381.0,0.0,1.0,0.0,0.0
142,73164.77391036853,True,500,500,1.0,479541.0,0.0,1.0,0.0,0.0
143,173057.79798683658,True,500,500,1.0,498958.0,0.0,1.0,0.0,0.0
144,69709.10138322813,True,500,500,1.0,477016.0,0.0,1.0,0.0,0.0
145,70173.48674527204,True,500,500,1.0,472664.0,0.0,1.0,0.0,0.0
146,206875.28271799724,True,500,500,1.0,456723.0,0.0,1.0,0.0,0.0
147,120641.60429349609,True,500,500,1.0,477582.0,0.0,1.0,0.0,0.0
148,47428.63340513572,True,500,500,1.0,487775.0,0.0,1.0,0.0,0.0
149,82511.23558518472,True,500,500,1.0,496837.0,0.0,1.0,0.0,0.0
150,80037.54538553143,True,500,500,1.0,483429.0,0.0,1.0,0.0,0.0
151,180669.1178883981,True,500,500,1.0,474123.0,0.0,1.0,0.0,0.0
152,81298.28106863111,True,500,500,1.0,485743.0,0.0,1.0,0.0,0.0
153,85110.71612003958,True,500,500,1.0,470845.0,0.0,1.0,0.0,0.0
154,143457.04398192654,True,500,500,1.0,459610.0,0.0,1.0,0.0,0.0
155,68230.00625624758,True,500,500,1.0,499783.0,0.0,1.0,0.0,0.0
